id,usuario_id,registrado_em,lat,lon,origem_id
174,63,2014-05-17 01:00:15,-23.555818,-46.679912,355030856
175,77,2014-05-17 01:03:24,-23.5558298,-46.680016,2927408
176,192,2014-05-17 01:03:28,-23.6079595,-46.6903251,355030832
177,167,2014-05-17 01:04:18,-23.555956,-46.680229,355030862
178,193,2014-05-17 01:08:14,-23.684602,-46.586859,355030866
179,194,2014-05-17 01:14:06,-23.8146401,-46.7395703,355030866
180,195,2014-05-17 01:18:26,-23.538808,-46.658515,355030802
181,196,2014-05-17 01:18:28,-23.538808,-46.658515,355030820
182,200,2014-05-17 01:18:29,-23.534149,-46.661588,355030843
183,197,2014-05-17 01:18:31,-23.534798,-46.660934,355030832
184,201,2014-05-17 01:18:34,-23.538808,-46.658718,355030840
185,205,2014-05-17 01:18:37,-23.534797,-46.660935,355030827
186,206,2014-05-17 01:18:39,-23.535248,-46.660851,3500402
187,199,2014-05-17 01:18:40,-23.534154,-46.661585,355030894
188,198,2014-05-17 01:18:42,-23.539386,-46.658281,355030854
189,202,2014-05-17 01:18:49,-23.540561,-46.660348,355030871
190,203,2014-05-17 01:18:50,-23.540099,-46.660537,355030847
191,204,2014-05-17 01:18:57,-23.540490,-46.660735,355030889
192,142,2014-05-17 01:19:17,-23.540765,-46.660155,AQ
193,207,2014-05-17 01:19:32,-23.4566558,-46.7040752,355030811
194,193,2014-05-17 01:21:14,-23.684610,-46.586856,355030866
195,194,2014-05-17 01:21:45,-23.8145511,-46.7395454,355030866
196,77,2014-05-17 01:22:20,-23.555811,-46.6799925,2927408
197,208,2014-05-17 01:25:41,-23.608880,-46.738883,355030854
198,207,2014-05-17 01:26:47,-23.456693,-46.7040036,355030811
199,194,2014-05-17 01:28:04,-23.8145701,-46.7395444,355030866
200,379,2014-05-17 01:30:59,-23.564026,-46.684470,355030862
201,210,2014-05-17 01:33:56,-22.954290,-43.183274,3304557
202,211,2014-05-17 01:40:24,-23.5395661,-46.4373353,355030837
203,189,2014-05-17 01:43:02,-23.52174919,-46.66325572,355030866
204,212,2014-05-17 01:44:10,-23.6090563,-46.7675959,3552809
205,213,2014-05-17 01:47:54,-23.52174919,-46.66325572,355030866
206,123,2014-05-17 01:51:26,-23.661628,-46.690586,355030848
207,214,2014-05-17 02:08:09,0.0,0.0,355030823
208,215,2014-05-17 02:08:21,-23.4890817,-46.7930854,3534401
209,216,2014-05-17 02:36:49,-23.547333,-46.640245,355030890
210,217,2014-05-17 03:02:32,-23.4819048,-46.6574214,355030813
211,218,2014-05-17 03:12:04,-23.527673,-46.5389754,355030853
212,207,2014-05-17 03:19:14,-23.4580935,-46.7038939,355030811
213,221,2014-05-17 03:22:17,-23.5688156,-46.545125,355030885
214,133,2014-05-17 03:33:41,-23.586451,-46.717546,355030854
215,224,2014-05-17 05:15:29,-23.563756,-46.686586,355030862
216,226,2014-05-17 07:24:12,-24.0130433,-46.4208669,355030838
217,225,2014-05-17 07:30:15,-23.5647742,-46.6854373,355030862
218,227,2014-05-17 07:34:32,-23.588429,-46.635034,AF
219,227,2014-05-17 07:43:17,-23.588482,-46.635028,AF
220,188,2014-05-17 08:49:04,-23.5332928,-46.7264728,355030812
221,80,2014-05-17 08:59:04,-23.5247454,-46.708125,355030848
222,231,2014-05-17 09:00:37,-23.502079,-46.622486,355030851
223,232,2014-05-17 09:16:08,-23.6063486,-46.4433828,355030833
224,233,2014-05-17 09:29:10,(null),(null),355030838
225,233,2014-05-17 09:34:38,(null),(null),355030838
226,154,2014-05-17 09:38:21,-23.530600,-46.682551,355030869
227,236,2014-05-17 09:39:48,-23.545298,-46.5741643,355030809
228,236,2014-05-17 09:47:49,-23.5453037,-46.5741469,355030809
229,237,2014-05-17 09:52:44,-23.5101797,-46.5370091,355030818
230,238,2014-05-17 09:56:13,-23.69737245,-46.6542097,355030858
231,239,2014-05-17 10:07:10,-23.6492585,-46.747931,355030817
232,240,2014-05-17 10:11:59,-23.548183,-46.680091,355030862
233,241,2014-05-17 10:18:55,-23.6406058,-46.5878721,355030868
234,193,2014-05-17 10:20:21,-23.684655,-46.586886,355030866
235,242,2014-05-17 10:26:23,-23.478239,-46.5797485,355030839
236,243,2014-05-17 10:26:38,-23.587579,-46.630130,355030890
237,245,2014-05-17 10:44:55,-23.4600603,-46.495964,3518800
238,246,2014-05-17 10:44:59,-23.5761586,-46.4929947,355030824
239,240,2014-05-17 10:50:08,-23.601202,-46.603941,355030862
240,247,2014-05-17 10:56:22,-23.4839774,-46.3862692,355030836
241,246,2014-05-17 11:07:41,-23.5761211,-46.4930149,355030824
242,250,2014-05-17 11:12:29,-23.535841,-46.693566,355030806
243,238,2014-05-17 11:12:38,-23.6974594,-46.65442052,355030858
244,251,2014-05-17 11:15:08,-23.534814,-46.633917,355030806
245,252,2014-05-17 11:15:23,-23.620299,-46.752814,355030817
246,254,2014-05-17 11:18:29,-23.52806731,-46.45114738,355030837
247,255,2014-05-17 11:22:31,-23.560742,-46.816883,3534401
